  0	160	  0	  0	  0	105	  0	260	  0	  0	  0	  0	  0	  0	  0	0	0	0
160	  0	200	  0	  0	220	245	190	  0	  0	  0	  0	  0	  0	  0	0	0	0
  0	200	  0	160	  0	  0	  0	170	  0	  0	  0	  0	  0	  0	  0	0	0	0 
  0	  0	160	  0	225	  0	  0	  0	  0	225	  0	  0	  0	  0	  0	0	0	0
  0	  0	  0	225	  0	  0	  0	  0	  0	190	  0	260	  0	  0	  0	0	0	0
105	220	  0	  0	  0	  0	130	  0	  0	  0	  0	  0	110	  0	  0	0	0	0
  0	245	  0	  0	  0	130	  0	130	210	305	  0	  0	130	  0	  0	0	0	0
260	190	170	  0	  0	  0	130	  0	205	255	  0	  0	  0	  0	  0	0	0	0
  0	  0	  0	  0	  0	  0	210	205	  0	135	140	  0	  0	205	185	195	0	0
  0	  0	  0	225	190	  0	305	255	135	  0	180	165	  0	  0	  0	295	0	305
  0	  0	  0	  0	  0	  0	  0	  0	140	180	  0	175	  0	  0	  0	0	120	0
  0	  0	  0	  0	260	  0	  0	  0	  0	165	175	  0	  0	  0	  0	0	260	170
  0	  0	  0	  0	  0	110	130	  0	  0	  0	  0	  0	  0	155	  0	0	0	0
  0	  0	  0	  0	  0	  0	  0	  0	205	  0	  0	  0	155	  0	 85	0	0	0
  0	  0	  0	  0	  0	  0	  0	  0	185	  0	  0	  0	  0	 85	  0	100	0	0
  0	  0	  0	  0	  0	  0	  0	  0	195	295	  0	  0	  0	  0	100	0	75	0
  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	120	260	  0	  0	  0	75	0	165
  0	  0	  0	  0	  0	  0	  0	  0	  0	305	  0	170	  0	  0	  0	0	165	0
